国家/地区,产品名称,产品ID,时间,花费,下载量,下载成本,曝光量,点击量,点击率,点击均价,激活量（HMS）
阿拉伯联合酋长国（阿联酋）,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,1,0,0%,0,0
阿拉伯联合酋长国（阿联酋）,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,3,0,0%,0,0
奥地利,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
奥地利,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,0,0,0%,0,0
瑞士,"	Kick Ball Crazy","	C103915625","	2021-04-26",0.4,2,0.2,965,28,2.90%,0.01,0
瑞士,"	Kick Ball Crazy","	C103915625","	2021-04-25",0.67,1,0.67,1458,40,2.74%,0.02,1
德国,"	Kick Ball Crazy","	C103915625","	2021-04-26",135.42,512,0.26,122740,1943,1.58%,0.07,43
德国,"	Kick Ball Crazy","	C103915625","	2021-04-25",130.12,452,0.29,188389,2173,1.15%,0.06,100
埃及,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,2,0,0%,0,0
西班牙,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
法国,"	Kick Ball Crazy","	C103915625","	2021-04-26",100.18,412,0.24,108937,3788,3.48%,0.03,60
法国,"	Kick Ball Crazy","	C103915625","	2021-04-25",155,699,0.22,129314,6486,5.02%,0.02,205
英国,"	Kick Ball Crazy","	C103915625","	2021-04-26",15.7,69,0.23,37622,173,0.46%,0.09,2
英国,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,3,0,0%,0,0
希腊,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
克罗地亚,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
伊拉克,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
伊拉克,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,0,0,0%,0,0
意大利,"	Kick Ball Crazy","	C103915625","	2021-04-26",25.15,112,0.22,73971,747,1.01%,0.03,5
意大利,"	Kick Ball Crazy","	C103915625","	2021-04-25",33.66,154,0.22,77464,1186,1.53%,0.03,11
约旦,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
约旦,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,0,0,0%,0,0
老挝,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,1,0,0%,0,0
立陶宛,"	Kick Ball Crazy","	C103915625","	2021-04-26",0.47,0,0,899,31,3.45%,0.02,0
立陶宛,"	Kick Ball Crazy","	C103915625","	2021-04-25",0.79,3,0.26,1510,78,5.17%,0.01,2
拉脱维亚,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,1,0,0%,0,0
马其顿,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
缅甸,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
马来西亚,"	Kick Ball Crazy","	C103915625","	2021-04-26",1.84,5,0.37,7551,142,1.88%,0.01,0
荷兰,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,0,0,0%,0,0
挪威,"	Kick Ball Crazy","	C103915625","	2021-04-26",10.92,67,0.16,7326,270,3.69%,0.04,15
挪威,"	Kick Ball Crazy","	C103915625","	2021-04-25",7.26,103,0.07,6835,438,6.41%,0.02,36
阿曼,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
阿曼,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,2,0,0%,0,0
波兰,"	Kick Ball Crazy","	C103915625","	2021-04-26",169.64,1108,0.15,185384,7943,4.28%,0.02,158
波兰,"	Kick Ball Crazy","	C103915625","	2021-04-25",141.31,1160,0.12,144651,5834,4.03%,0.02,367
葡萄牙,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
罗马尼亚,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
罗马尼亚,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,0,0,0%,0,0
俄罗斯,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,1,0,0%,0,0
沙特阿拉伯,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,11,1,9.09%,0,0
沙特阿拉伯,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,11,1,9.09%,0,0
土耳其,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,1,0,0%,0,0
土耳其,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,1,0,0%,0,0
乌克兰,"	Kick Ball Crazy","	C103915625","	2021-04-26",0,0,0,0,0,0%,0,0
乌克兰,"	Kick Ball Crazy","	C103915625","	2021-04-25",0,0,0,0,0,0%,0,0
